,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,C0,C0,C1,C1,C2,C2,C3,C3,C4,C4,C5,C5,C6,C6,C7,C7,C8,C8,C9,C9
,flow C0,flow C1,flow C2,flow C3,flow C4,flow C5,flow C6,flow C7,flow C8,flow C9,flow SC0,foodwaste,input flow,flow 1,flow 2,flow 3,flow 4,flow 5,flow 6,flow 7,flow 8,flow 9,flow 10,foodwaste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste
0,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.6134494652829391,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,1.1208932273388574,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0,0.01000080641152493,0.0
2,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,1.5406493543259403,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0,0.010010033100621932,0.0
3,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,1.8878705033835965,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0,0.010014760103578579,0.0
4,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,2.1750909120963664,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0,0.010111834512460368,0.0
5,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,2.4126788683744333,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0,0.009910104386233638,0.0
6,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,2.6092109923323745,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0,0.009909064649880521,0.0
7,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,2.7717818412613244,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0,0.010108393941650584,0.0
8,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,2.906260014036455,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0,0.009907565945983809,0.0
